Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
WAB Holdings LLC,Save Austin Now PAC,8000.00,10/19/2022,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2022,Political Expenditure From Political Contributions,11/01/2022,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Voter Contact Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=396169),R20220930100714761-F00004,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,10/15/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"ADVERTISE | Voter identification, voter contact, modeling, data analysis",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00149,,,,,
WAB Holdings LLC,Save Austin Now PAC,12500.00,09/24/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"ADVERTISE | Voter identification, voter contact, modeling, data analysis",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00033,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2000.00,10/21/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00098,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,10/21/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"ADVERTISE | Voter identification, voter contact, modeling, data analysis",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00147,,,,,
Goodbuzz Solutions,Save Austin Now PAC,7510.00,10/01/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00115,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,10/12/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"ADVERTISE | Voter identification, voter contact, modeling, data analysis",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00068,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,10/20/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"ADVERTISE | Voter identification, voter contact, modeling, data analysis",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00083,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,4500.00,09/29/2021,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,"OVERHEAD | food, water, and supplies for volunteers.",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00079,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,680.30,10/18/2021,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,OVERHEAD | office supplies: chairs and tables,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00107,,,,,
Goodbuzz Solutions,Save Austin Now PAC,5010.00,10/13/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/25/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=370246),R20210924100712548-F00086,,,,,
Goodbuzz Solutions,Save Austin Now PAC,4000.00,07/02/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00210,,,,,
WAB Holdings LLC,Save Austin Now PAC,20000.00,08/02/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00138,,,,,
WAB Holdings LLC,Save Austin Now PAC,10000.00,08/18/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00241,,,,,
Goodbuzz Solutions,Save Austin Now PAC,10000.00,07/09/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00247,,,,,
Goodbuzz Solutions,Save Austin Now PAC,7545.00,08/19/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00162,,,,,
WAB Holdings LLC,Save Austin Now PAC,2500.00,08/17/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00146,,,,,
WAB Holdings LLC,Save Austin Now PAC,12500.00,09/09/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00003,,,,,
Goodbuzz Solutions,Save Austin Now PAC,4020.00,07/28/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00072,,,,,
WAB Holdings LLC,Save Austin Now PAC,15000.00,08/05/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00201,,,,,
WAB Holdings LLC,Save Austin Now PAC,12500.00,09/20/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Voter Identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00076,,,,,
WAB Holdings LLC,Save Austin Now PAC,10000.00,09/07/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Voter Identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00124,,,,,
WAB Holdings LLC,Save Austin Now PAC,80000.00,07/09/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,10/04/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter identification,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=368708),R20210701100712312-F00057,,,,,
WAB Holdings LLC,Save Austin Now PAC,24500.00,06/28/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,07/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,POLLING | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363567),R20210422100712145-F00053,,,,,
"Potomac Strategy Group, LLC",Save Austin Now PAC,7661.53,06/14/2021,ENTITY,"807 Brazos St., Suite 408","Austin, TX, 78701",2021,Political Expenditure From Political Contributions,07/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | communications strategy consulting hire,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363567),R20210422100712145-F00030,,,,,
Goodbuzz Solutions,Save Austin Now PAC,392.27,05/05/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,07/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Marketing Consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363567),R20210422100712145-F00032,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2621.90,05/03/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,07/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | marketing consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363567),R20210422100712145-F00097,,,,,
Goodbuzz Solutions,Save Austin Now PAC,2010.00,05/21/2021,ENTITY,"3571 Far W Blvd , #112","Austin, TX, 78731",2021,Political Expenditure From Political Contributions,07/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,CONSULT | Marketing Consultant,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=363567),R20210422100712145-F00095,,,,,
"Day, Lauren",Save Austin Now PAC,3425.00,04/27/2021,INDIVIDUAL,4209 Canyon Glen Cir,"Austin, TX, 78732",2021,Expenditure,04/28/2021,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC,FUNDRAISE,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359203),R20210427100711570-F00005,,,,,
WAB Holdings LLC,Save Austin Now PAC,149833.40,04/26/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Expenditure,04/27/2021,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC,ADVERTISE,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359176),R20210426100711557-F00002,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,04/23/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Expenditure,04/26/2021,PACATX7: Pre-Election Report Political Committees: Form ATX.7PAC,ADVERTISE,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359118),R20210423100711553-F00006,,,,,
WAB Holdings LLC,Save Austin Now PAC,50000.00,04/02/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00095,,,,,
WAB Holdings LLC,Save Austin Now PAC,25000.00,03/29/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00034,,,,,
WAB Holdings LLC,Save Austin Now PAC,75000.00,04/13/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00073,,,,,
WAB Holdings LLC,Save Austin Now PAC,6090.00,04/21/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00126,,,,,
WAB Holdings LLC,Save Austin Now PAC,20000.00,03/26/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00082,,,,,
WAB Holdings LLC,Save Austin Now PAC,160569.10,04/19/2021,ENTITY,18079 Brick Mill Run,"Strongsville, OH, 44136",2021,Political Expenditure From Political Contributions,04/23/2021,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | voter contact,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=359068),R20210323100711543-F00049,,,,,
"Davidson, Donna","Kelly, Mackenzie",1590.00,12/14/2020,INDIVIDUAL,PO Box 12131,"Austin, TX, 78711",2020,Political Expenditure From Political Contributions,01/15/2021,COH: Candidate /Officeholder Campaign Finance Report,LEGAL | Legal services related to review and preparation of campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353344),R20201206100711295-F00001,,,,,
VICTORY SOLUTION,Fight for Austin,10103.22,11/06/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for another call to Austin residents to inform about FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00008,,,,,
VICTORY SOLUTION,Fight for Austin,23762.80,11/10/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for another call to Austin residents to inform about FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00004,,,,,
VICTORY SOLUTION,Fight for Austin,31455.32,10/28/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Victory Solutions organized a call to Austin residents to inform about the FFA petition.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00002,,,,,
VICTORY SOLUTION,Fight for Austin,1487.20,11/17/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Non-Political Expenditure From Political Contributions,01/15/2021,GPAC: General-Purpose Committee Campaign Finance Report,FUNDRAISE | Fee for updating Austin residents on FFA petition progress.,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=353371),R20201026100711317-F00009,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",39000.35,11/24/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign Consulting Fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00007,,,,,
Fed Ex Office,"Kelly, Mackenzie",249.41,11/10/2020,ENTITY,"13729 N Highway 183, Ste 820","Austin, TX, 78750",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,PRINTING | Printing of campaign advertisements,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00002,,,,,
"Henry, Thomas J.","Kelly, Mackenzie",1000.00,11/10/2020,INDIVIDUAL,12605 Grimes Ranch Court,"Austin, TX, 78732",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign Consulting Fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00010,,,,,
Office Depot,"Kelly, Mackenzie",372.21,11/09/2020,ENTITY,4501 W Braker Ln,"Austin, TX, 78759",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,PRINTING | Campaign literature,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00008,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",15282.40,12/04/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign Consulting Fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00006,,,,,
Office Depot,"Kelly, Mackenzie",32.46,11/09/2020,ENTITY,4501 W Braker Ln,"Austin, TX, 78759",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign office supplies,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00009,,,,,
Taco Cabana,"Kelly, Mackenzie",30.29,11/20/2020,ENTITY,2110 S Interstate 35,"Round Rock, TX, 78681",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Food for volunteers,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00012,,,,,
"Anedot, Inc.","Kelly, Mackenzie",1900.68,12/05/2020,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,FEES | Credit card processing fees for donations 10/25/2020 thru 12/05/2020,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00011,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",7820.68,10/26/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign Consulting fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00005,,,,,
Freda's Seafood Grille,"Kelly, Mackenzie",98.48,11/09/2020,ENTITY,10903 Pecan Park Blvd,"Austin, TX, 78750",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Luncheon for campaign staff,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00004,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",19500.00,11/19/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00003,,,,,
Brooklyn Heights Pizzaria,"Kelly, Mackenzie",50.21,11/02/2020,ENTITY,14900 Avery Ranch Blvd,"Austin, TX, 78717",2020,Political Expenditure From Political Contributions,12/08/2020,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Food for volunteers,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=351701),R20201025100711208-F00001,,,,,
VICTORY SOLUTION,Fight for Austin,3581.15,10/13/2020,ENTITY,19571 Progress Drive.,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,ADVERTISE | Fight For Austin Voter Info Ad,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00002,,,,,
VICTORY SOLUTION,Fight for Austin,24443.48,10/23/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/27/2020,CORPAC: Correction Affidavit For Political Committee,ADVERTISE | FIGHT FOR AUSTIN VOTER INFO AD,,,N,X,View Report (https://services.austintexas.gov/edims/document.cfm?id=349391),R20201003100711135-F00004,,,,,
Perla's Seafood,"Kelly, Mackenzie",220.03,10/10/2020,ENTITY,1400 South Congress Ave,"Austin, TX, 78704",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Campaign meeting for volunteers,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00005,,,,,
VICTORY SOLUTION,Fight for Austin,24443.48,10/23/2020,ENTITY,19571 Progress Drive,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | FIGHT FOR AUSTIN VOTER INFO AD,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00004,,,,,
Perla's Seafood,"Kelly, Mackenzie",297.90,10/17/2020,ENTITY,1400 South Congress Ave,"Austin, TX, 78704",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Campaign meeting for volunteers,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00004,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",3000.00,10/20/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00001,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",7820.68,10/24/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00007,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",30000.00,09/29/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00010,,,,,
"Zimmerman, Don","Kelly, Mackenzie",875.00,10/03/2020,INDIVIDUAL,10901 Enchanted Rock Cove,"Austin, TX, 78726",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00008,,,,,
"Henry, Thomas J.","Kelly, Mackenzie",1500.00,10/06/2020,INDIVIDUAL,12605 Grimes Ranch Court,"Austin, TX, 78732",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00002,,,,,
"Kelly, Mackenzie","Kelly, Mackenzie",160.10,09/30/2020,INDIVIDUAL,8800 Hazelhurst Drive #30,"Austin, TX, 78729",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,LOAN | Reimbursement for expenses reported on 30-day report's schedule G,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00003,,,,,
VICTORY SOLUTION,Fight for Austin,3581.15,10/13/2020,ENTITY,19571 Progress Drive.,"Strongsville, OH, 44149",2020,Political Expenditure From Political Contributions,10/26/2020,GPAC: General-Purpose Committee Campaign Finance Report,ADVERTISE | Fight For Austin Voter Info Ad,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349334),R20201003100711123-F00006,,,,,
"Anedot, Inc.","Kelly, Mackenzie",410.09,10/24/2020,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,"FEES | Online contribution processing fees September 25, 2020 thru October 24, 2020.",,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00009,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",3281.25,10/20/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/26/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Campaign consulting expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=349328),R20200925100711104-F00006,,,,,
United States Postal Service,"Kelly, Mackenzie",110.00,08/24/2020,ENTITY,11900 Jollyville Rd,"Austin, TX, 78759",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,OTHER | Stamps | Campaign postage,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00003,,,,,
"Vera, Bobby","Kelly, Mackenzie",875.00,09/18/2020,INDIVIDUAL,"8200 Cameron Rd. , Suite #A198","Austin, TX, 78754",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Sign Placement,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00007,,,,,
"Pinpoint Action, LLC","Kelly, Mackenzie",2600.00,09/04/2020,ENTITY,280 Wekiva Springs Road,"Longwood, FL, 32779",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,CONSULT | Consulting Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00001,,,,,
Wells Fargo Bank,"Kelly, Mackenzie",3.00,08/07/2020,ENTITY,P. O. Box 6995,"Portland, OR, 97228-6995",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,FEES | Campaign check printing fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00004,,,,,
Travis County Republican Party,"Kelly, Mackenzie",259.07,08/07/2020,ENTITY,807 Brazos St #408,"Austin, TX, 78701",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,EVENT | Republican Party Gala Fee,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00002,,,,,
United States Postal Service,"Kelly, Mackenzie",275.00,09/24/2020,ENTITY,11900 Jollyville Rd,"Austin, TX, 78759",2020,Political Expenditure From Political Contributions,10/05/2020,COH: Candidate /Officeholder Campaign Finance Report,OTHER | Stamps | Campaign postage,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=348114),R20200701100710967-F00005,,,,,
